Runs,SR,Pos,Inns,Won
36,92.3,6,1,1
19,54.28,4,2,1
31,119.23,6,2,1
36,163.63,5,1,1
53,129.26,5,2,1
53,75.71,4,2,1
52,130,5,1,1
22,81.48,5,1,1
11,40.74,5,2,1
62,84.93,4,2,1
4,50,4,1,1
36,55.38,4,1,1
48,84.21,4,1,1
57,64.77,4,2,1
54,87.09,5,1,1
81,105.19,4,1,1
39,69.64,4,1,1
22,91.66,5,2,1
21,55.26,3,2,1
1,20,5,2,1
5,83.33,5,2,1
34,113.33,5,2,1
3,33.33,5,1,1
8,133.33,5,2,1
21,53.84,5,1,1
26,86.66,5,2,1
3,12,4,1,1
15,48.38,5,1,1
28,65.11,5,1,1
1,20,5,1,1
11,61.11,5,2,1
82,167.34,2,2,1
63,84,2,1,1
63,81.81,2,1,1
6,85.71,2,2,1
110,84.61,2,1,1
0,0,2,2,1
0,0,2,2,1
8,33.33,3,2,1
115,84.55,2,2,1
62,114.81,2,1,1
66,97.05,2,1,1
54,84.37,2,1,1
88,78.57,2,2,1
105,78.35,2,1,1
47,117.5,2,2,1
48,160,2,2,1
112,104.67,2,2,1
41,100,2,2,1
39,76.47,2,2,1
7,63.63,2,2,1
1,25,2,2,1
127,92.02,2,2,1
70,76.92,2,2,1
3,25,1,1,1
31,52.54,2,1,1
28,90.32,1,1,1
118,84.28,2,1,1
40,86.95,2,2,1
89,100,2,2,1
2,15.38,2,1,1
88,79.27,2,2,1
62,103.33,1,1,1
67,76.13,2,1,1
114,90.47,1,1,1
104,107.21,2,2,1
65,92.85,1,2,1
117,85.4,2,2,1
28,133.33,2,2,1
17,31.48,1,1,1
25,55.55,4,2,1
0,0,4,1,1
6,85.71,1,2,1
21,116.66,1,2,1
82,95.34,4,2,1
54,71.05,4,2,1
67,152.27,2,1,1
95,121.79,2,2,1
41,157.69,2,2,1
8,72.72,2,1,1
5,29.41,2,1,1
100,112.35,2,2,1
1,50,2,1,1
40,97.56,1,1,1
134,102.29,2,2,1
33,113.79,2,2,1
100,97.08,2,2,1
65,130,2,2,1
128,97.7,2,1,1
127,97.69,2,2,1
29,138.09,1,2,1
141,110.15,2,1,1
3,50,2,2,1
118,105.35,2,2,1
18,64.28,1,1,1
124,134.78,2,2,1
23,121.05,2,2,1
5,41.66,1,2,1
140,138.61,4,1,1
2,66.66,4,1,1
22,55,4,1,1
45,69.23,1,1,1
120,85.1,1,1,1
85,118.05,2,1,1
186,124,2,1,1
1,4.34,2,1,1
0,0,4,2,1
41,89.13,1,1,1
26,104,2,2,1
21,67.74,2,2,1
122,88.4,2,2,1
11,39.28,2,2,1
36,144,2,2,1
25,71.42,2,2,1
38,102.7,2,1,1
39,78,2,1,1
8,53.33,2,1,1
4,40,1,2,1
44,89.79,2,2,1
8,40,1,1,1
62,72.09,2,2,1
27,71.05,2,1,1
35,134.61,2,1,1
139,111.2,2,1,1
70,100,2,2,1
9,33.33,2,2,1
81,73.63,2,2,1
122,93.12,2,2,1
38,66.66,2,1,1
146,110.6,2,1,1
36,83.72,2,1,1
68,86.07,1,2,1
87,129.85,1,2,1
34,75.55,4,2,1
65,92.85,4,1,1
1,11.11,4,2,1
49,70,4,2,1
19,76,4,2,1
113,110.78,4,1,1
14,73.68,4,2,1
7,43.75,4,1,1
9,45,4,2,1
16,55.17,4,1,1
0,0,4,2,1
1,7.69,4,2,1
52,72.22,2,1,1
81,89.01,2,1,1
